Etiq-Strain+Automat+CG
AB253420=HEVN2. 4.JPN.Okinawa.hum.CG
KF513829=HEV_EW312. 3c.GBR.hum
KF513830=HEV_EW313. 3c.GBR.hum
KF513831=HEV_EW314. 3c.GBR.hum
KF513837=HEV_EW315. 3c.GBR.hum
KF513838=HEV_EW320. 3c.GBR.hum
KF513839=HEV_EW321. 3c.GBR.hum
KF513840=HEV_EW322. 3c.GBR.hum
KF513841=HEV_EW323. 3c.GBR.hum
KF513842=HEV_EW324. 3c.GBR.hum
KF513844=HEV_EW325. 3c.GBR.hum
KF513845=HEV_EW327. 3c.GBR.hum
KF513846=HEV_EW328. 3c.GBR.hum
KF513848=HEV_EW329. 3c.GBR.hum
KF513851=HEV_EW330. 3c.GBR.hum
KF513853=HEV_EW333. 3c.GBR.hum
KF513854=HEV_EW335. 3c.GBR.hum
KF513855=HEV_EW336. 3c.GBR.hum
KF513856=HEV_EW337. 3c.GBR.hum
KF513859=HEV_EW338. 3c.GBR.hum
KF513864=HEV_EW340. 3c.GBR.hum
KF513867=HEV_EW345. 3c.GBR.hum
KF513868=HEV_EW348. 3c.GBR.hum
KF513879=HEV_EW349. 3c.GBR.hum
KF513883=HEV_EW359. 3c.GBR.hum
KF513884=HEV_EW362. 3c.GBR.hum
KF513885=HEV_EW363. 3c.GBR.hum
KF513886=HEV_EW364. 3c.GBR.hum
KF513888=HEV_EW365. 3c.GBR.hum
KF513892=HEV_EW367. 3c.GBR.hum
KF513896=HEV_EW370. 3c.GBR.hum
KF513897=HEV_EW374. 3c.GBR.hum
KF513898=HEV_EW375. 3c.GBR.hum
KF513900=HEV_EW376. 3c.GBR.hum
KF513903=HEV_EW378. 3c.GBR.hum
KF513904=HEV_EW380. 3c.GBR.hum
KF513907=HEV_EW381. 3c.GBR.hum
KF513909=HEV_EW384. 3c.GBR.hum
KF513910=HEV_EW386. 3c.GBR.hum
KF513912=HEV_EW387. 3c.GBR.hum
KF513914=HEV_EW389. 3c.GBR.hum
KF513915=HEV_EW390. 3c.GBR.hum
KF513917=HEV_EW391. 3c.GBR.hum
KF513918=HEV_EW393. 3c.GBR.hum
KF513919=HEV_EW394. 3c.GBR.hum
KF513920=HEV_EW395. 3c.GBR.hum
KF513921=HEV_EW396. 3c.GBR.hum
KF513922=HEV_EW397. 3c.GBR.hum
KF513926=HEV_EW398. 3c.GBR.hum
KF513927=HEV_EW400. 3c.GBR.hum
KF513930=HEV_EW401. 3c.GBR.hum
KF513931=HEV_EW404. 3c.GBR.hum
KF513933=HEV_EW405. 3c.GBR.hum
KF513934=HEV_EW407. 3c.GBR.hum
KF513935=HEV_EW408. 3c.GBR.hum
KF513937=HEV_EW409. 3c.GBR.hum
KF513938=HEV_EW410. 3c.GBR.hum
KF513942=HEV_EW411. 3c.GBR.hum
KF513943=HEV_EW415. 3c.GBR.hum
KF513946=HEV_EW416. 3c.GBR.hum
KF513948=HEV_EW419. 3c.GBR.hum
KF513949=HEV_EW420. 3c.GBR.hum
KF513952=HEV_EW421. 3c.GBR.hum
KF513953=HEV_EW424. 3c.GBR.hum
KF513954=HEV_EW425. 3c.GBR.hum
KF513956=HEV_EW426. 3c.GBR.hum
KF513959=HEV_EW428. 3c.GBR.hum
KF513960=HEV_EW430. 3c.GBR.hum
KF513961=HEV_EW431. 3c.GBR.hum
KF513965=HEV_EW432. 3c.GBR.hum
KF513966=HEV_EW436. 3c.GBR.hum
KF513968=HEV_EW437. 3c.GBR.hum
KF513970=HEV_EW439. 3c.GBR.hum
KF513971=HEV_EW440. 3c.GBR.hum
KF513972=HEV_EW441. 3c.GBR.hum
KF513973=HEV_EW442. 3c.GBR.hum
KF513974=HEV_EW443. 3c.GBR.hum
KF513975=HEV_EW444. 3c.GBR.hum
KF513976=HEV_EW445. 3c.GBR.hum
KF513978=HEV_EW446. 3c.GBR.hum
KF513981=HEV_EW448. 3c.GBR.hum
KF513982=HEV_EW450. 3c.GBR.hum
KF513984=HEV_EW451. 3c.GBR.hum
KF513985=HEV_EW453. 3c.GBR.hum
KF513987=HEV_EW454. 3c.GBR.hum
KF513988=HEV_EW456. 3c.GBR.hum
KF513989=HEV_EW457. 3c.GBR.hum
KF513993=HEV_EW458. 3c.GBR.hum
KF513994=HEV_EW461. 3c.GBR.hum
KF513995=HEV_EW462. 3c.GBR.hum
KF513997=HEV_EW463. 3c.GBR.hum
KF513999=HEV_EW465. 3c.GBR.hum
KF514000=HEV_EW467. 3c.GBR.hum
KF514001=HEV_EW468. 3c.GBR.hum
KF514003=HEV_EW469. 3c.GBR.hum
KF514006=HEV_EW470. 3c.GBR.hum
KF514007=HEV_EW473. 3c.GBR.hum
KF514008=HEV_EW474. 3c.GBR.hum
KF514010=HEV_EW475. 3c.GBR.hum
KF514016=HEV_EW477. 3c.GBR.hum
KF514021=HEV_EW482. 3c.GBR.hum
KF514022=HEV_EW487. 3c.GBR.hum
KF514025=HEV_EW488. 3c.GBR.hum
KF514027=HEV_EW490. 3c.GBR.hum
KF514028=HEV_EW492. 3c.GBR.hum
KF514029=HEV_EW493. 3c.GBR.hum
KF514030=HEV_EW494. 3c.GBR.hum
KF514032=HEV_EW495. 3c.GBR.hum
KF514033=HEV_EW497. 3c.GBR.hum
KF514037=HEV_EW498. 3c.GBR.hum
KF514039=HEV_EW500. 3c.GBR.hum
KF514042=HEV_EW502. 3c.GBR.hum
KF514043=HEV_EW505. 3c.GBR.hum
KJ701409=AB_7110. 3c.FRA.Marseille.hum.CG
KF513957=AB_7110. 3chi.GBR.hum
KF513737=HEV_EW429. 3chi.GBR.hum
KF513784=HEV_EW230. 3chi.GBR.hum
KF513850=HEV_EW273. 3chi.GBR.hum
KF513876=HEV_EW332. 3chi.GBR.hum
KF513945=HEV_EW356. 3chi.GBR.hum
KF513962=HEV_EW418. 3chi.GBR.hum
AF296165=TW12SW. 3d.CHN.TWN.pig(*)
AF296166=TW13SW. 3d.CHN.TWN.pig(*)
AF296167=TW3SW. 3d.CHN.TWN.pig(*)
KF513611=HEV_EW115. 3e.GBR.hum
KF513678=HEV_EW177. 3e.GBR.hum
KF513700=HEV_EW177. 3e.GBR.hum
KF513705=HEV_EW198. 3e.GBR.hum
KF513721=HEV_EW201. 3e.GBR.hum
KF513722=HEV_EW216. 3e.GBR.hum
KF513723=HEV_EW217. 3e.GBR.hum
KF513739=HEV_EW218. 3e.GBR.hum
KF513744=HEV_EW232. 3e.GBR.hum
KF513745=HEV_EW237. 3e.GBR.hum
KF513748=HEV_EW238. 3e.GBR.hum
KF513760=HEV_EW240. 3e.GBR.hum
KF513767=HEV_EW251. 3e.GBR.hum
KF513790=HEV_EW258. 3e.GBR.hum
KF514017=HEV_EW279. 3e.GBR.hum
KF514018=HEV_EW483. 3e.GBR.hum
KF514064=HEV_EW484. 3e.GBR.hum
KF514074=HEV_EW67. 3e.GBR.hum
AB248520=HE-JA04-1911. 3e.JPN.Mie.hum.CG
AB248521=swJ8-5. 3e.JPN.Hokkaido.pig.CG
AB248522=swJ12-4. 3e.JPN.Hokkaido.pig.CG
AB291958=JNH-Ehi04L. 3e.JPN.hum.CG
AB385845=HEV/HU/NL/2005-6223. 3e.NLD.hum
AB385850=HEV/HU/NL/2006-0297. 3e.NLD.hum
AB481226=swJB-E10. 3e.JPN.pig.CG
AB627908=JKM-Tok10. 3e.JPN.Tokio.hum
AB627909=JMH-Tok09. 3e.JPN.Tokio.hum
AB780450=JBOAR100-Mie10. 3e.JPN.Mie.wb.CG
AB780451=JBOAR107-Mie11. 3e.JPN.Mie.wb.CG
AB780452=JBOAR111-Mie11. 3e.JPN.Mie.wb.CG
AB780453=JBOAR124-Mie11. 3e.JPN.Mie.wb.CG
AF110389=G2. 3e.GRC.hum(*)
AF110392=G2. 3e.GRC.hum(*)
AF490999=N1. 3e.FRA.Nancy.sewage(*)
AF491002=Por1. 3e.ESP.pig(*)
AY940427=Hungary1. 3e.HUN.hum
DQ315755=18004. 3e.ESP.pig
DQ445668=NZ_Case2. 3e.NZL.hum
DQ916144=NLSWLiver27. 3e.NLD.pig
EF372540=HEV/SW/NL/2005-1013. 3e.NLD.pig
EF530659=HUN-E19. 3e.HUN.hum
EF530660=HUN-E38. 3e.HUN.hum
EF530674=HUN-072. 3e.HUN.pig
EU057982=HUN-045. 3e.HUN.deer
EU495143=TLS38. 3e.FRA.hum
EU495146=TLS42. 3e.FRA.hum
EU495186=TLS38. 3e.FRA.hum
EU495187=TLS42. 3e.FRA.hum
EU495228=TLS42. 3e.FRA.hum
EU495229=TLS38. 3e.FRA.hum
EU526625=HEV/SW/NL/2005-1013. 3e.NLD.pig
EU526626=HEV/WATER/NL/2005-033. 3e.NLD.water
EU718630=HUN-281. 3e.HUN.pig
EU718631=HUN-288. 3e.HUN.pig
EU718632=HUN-283. 3e.HUN.pig
EU718634=HUN-088. 3e.HUN.pig
EU718636=HUN-278. 3e.HUN.pig
EU718637=HUN-282. 3e.HUN.pig
EU718638=HUN-285. 3e.HUN.pig
EU718639=HUN-290. 3e.HUN.pig
EU718642=HUN-157. 3e.HUN.deer
EU718643=HUN-284. 3e.HUN.pig
EU718645=HUN-279. 3e.HUN.pig
EU718650=HUN-072. 3e.HUN.pig
EU879098=V0607568 . 3e.DEU.hum.UReg
EU879117=V0713286 . 3e.DEU.hum.UReg
FJ748526=wbGER115. 3e.DEU.Berlin.wb.FIRA
FJ998013=SA11. 3e.DEU.BB,Welzow.wb.RKI
FJ998014=SA13. 3e.DEU.BB,Welzow.wb.RKI
FJ998015=SA21 . 3e.DEU.BB,Welzow.wb.RKI.CG
FJ998016=SA28 . 3e.DEU.BB,Welzow.wb.RKI
FJ998019=SA34 . 3e.DEU.BB,Welzow.wb.RKI
FN994998=V1008999. 3e.DEU.NW.hum.UReg
FN994999=V1009000. 3e.DEU.NW.hum.UReg
FR687017=V1002449. 3e.DEU.TH.hum.UReg
GQ266391=V0813275. 3e.DEU.hum.UReg
GU299815=CZhHEV197-09. 3e.CZE.hum
GU299817=CZhHEV107-09. 3e.CZE.hum
HM055578=HEV072/sw/HUN-05. 3e.HUN.pig.CG
JN398371=TR02. 3e.FRA.Toulouse .hum
JN415692=swine/Ger/01. 3e.DEU.pig.TiHo
JN415693=swine/Ger/03. 3e.DEU.pig.TiHo
JN415694=swine/Ger/05. 3e.DEU.pig.TiHo
JN415695=swine/Ger/06. 3e.DEU.pig.TiHo
JN415696=swine/Ger/07. 3e.DEU.pig.TiHo
JN415699=swine/Ger/14. 3e.DEU.pig.TiHo
JN415700=swine/Ger/15. 3e.DEU.pig.TiHo
JN415703=swine/Ger/18. 3e.DEU.pig.TiHo
JN995564=Oct3. 3e.DEU.hum.PEI
JQ013795=TR02. 3e.FRA.hum.CG
JQ026407=Inuyama. 3e.JPN.monkey.CG
JQ034517=HSD35. 3e.DEU.hum.UBMC
JQ034518=HSD50. 3e.DEU.hum.UBMC
JQ034520=HSD24. 3e.DEU.hum.UBMC
JQ863409=3993_1. 3e.DEU.NRW.hum.UBMC
JQ953665=FR-SHEV3e. 3e.FRA.pig.CG
KF513595=HEV_EW100. 3e.GBR.hum
KF513596=HEV_EW101. 3e.GBR.hum
KF513597=HEV_EW102. 3e.GBR.hum
KF513598=HEV_EW103. 3e.GBR.hum
KF513599=HEV_EW104. 3e.GBR.hum
KF513600=HEV_EW105. 3e.GBR.hum
KF513602=HEV_EW107. 3e.GBR.hum
KF513603=HEV_EW108. 3e.GBR.hum
KF513604=HEV_EW109. 3e.GBR.hum
KF513605=HEV_EW10. 3e.GBR.hum
KF513606=HEV_EW110. 3e.GBR.hum
KF513607=HEV_EW111. 3e.GBR.hum
KF513610=HEV_EW114. 3e.GBR.hum
KF513612=HEV_EW116. 3e.GBR.hum
KF513613=HEV_EW117. 3e.GBR.hum
KF513615=HEV_EW119. 3e.GBR.hum
KF513616=HEV_EW11. 3e.GBR.hum
KF513617=HEV_EW120. 3e.GBR.hum
KF513618=HEV_EW121. 3e.GBR.hum
KF513619=HEV_EW122. 3e.GBR.hum
KF513620=HEV_EW123. 3e.GBR.hum
KF513621=HEV_EW124. 3e.GBR.hum
KF513622=HEV_EW125. 3e.GBR.hum
KF513623=HEV_EW126. 3e.GBR.hum
KF513624=HEV_EW127. 3e.GBR.hum
KF513625=HEV_EW128. 3e.GBR.hum
KF513626=HEV_EW129. 3e.GBR.hum
KF513627=HEV_EW12. 3e.GBR.hum
KF513630=HEV_EW132. 3e.GBR.hum
KF513632=HEV_EW134. 3e.GBR.hum
KF513633=HEV_EW135. 3e.GBR.hum
KF513634=HEV_EW136. 3e.GBR.hum
KF513635=HEV_EW137. 3e.GBR.hum
KF513638=HEV_EW13. 3e.GBR.hum
KF513639=HEV_EW140. 3e.GBR.hum
KF513640=HEV_EW141. 3e.GBR.hum
KF513641=HEV_EW142. 3e.GBR.hum
KF513642=HEV_EW143. 3e.GBR.hum
KF513643=HEV_EW144. 3e.GBR.hum
KF513644=HEV_EW145. 3e.GBR.hum
KF513646=HEV_EW147. 3e.GBR.hum
KF513647=HEV_EW148. 3e.GBR.hum
KF513649=HEV_EW150. 3e.GBR.hum
KF513650=HEV_EW151. 3e.GBR.hum
KF513651=HEV_EW152. 3e.GBR.hum
KF513652=HEV_EW153. 3e.GBR.hum
KF513653=HEV_EW154. 3e.GBR.hum
KF513654=HEV_EW155. 3e.GBR.hum
KF513655=HEV_EW156. 3e.GBR.hum
KF513656=HEV_EW157. 3e.GBR.hum
KF513657=HEV_EW158. 3e.GBR.hum
KF513658=HEV_EW159. 3e.GBR.hum
KF513659=HEV_EW15. 3e.GBR.hum
KF513660=HEV_EW160. 3e.GBR.hum
KF513661=HEV_EW161. 3e.GBR.hum
KF513662=HEV_EW162. 3e.GBR.hum
KF513664=HEV_EW164. 3e.GBR.hum
KF513665=HEV_EW165. 3e.GBR.hum
KF513666=HEV_EW166. 3e.GBR.hum
KF513667=HEV_EW167. 3e.GBR.hum
KF513670=HEV_EW16. 3e.GBR.hum
KF513671=HEV_EW170. 3e.GBR.hum
KF513672=HEV_EW171. 3e.GBR.hum
KF513673=HEV_EW172. 3e.GBR.hum
KF513674=HEV_EW173. 3e.GBR.hum
KF513675=HEV_EW174. 3e.GBR.hum
KF513676=HEV_EW175. 3e.GBR.hum
KF513677=HEV_EW176. 3e.GBR.hum
KF513679=HEV_EW178. 3e.GBR.hum
KF513680=HEV_EW179. 3e.GBR.hum
KF513682=HEV_EW180. 3e.GBR.hum
KF513683=HEV_EW180. 3e.GBR.hum
KF513684=HEV_EW181. 3e.GBR.hum
KF513685=HEV_EW182. 3e.GBR.hum
KF513686=HEV_EW183. 3e.GBR.hum
KF513687=HEV_EW184. 3e.GBR.hum
KF513688=HEV_EW185. 3e.GBR.hum
KF513692=HEV_EW186. 3e.GBR.hum
KF513695=HEV_EW18. 3e.GBR.hum
KF513696=HEV_EW193. 3e.GBR.hum
KF513699=HEV_EW194. 3e.GBR.hum
KF513702=HEV_EW197. 3e.GBR.hum
KF513706=HEV_EW19. 3e.GBR.hum
KF513708=HEV_EW202. 3e.GBR.hum
KF513713=HEV_EW204. 3e.GBR.hum
KF513714=HEV_EW209. 3e.GBR.hum
KF513715=HEV_EW20. 3e.GBR.hum
KF513716=HEV_EW210. 3e.GBR.hum
KF513717=HEV_EW211. 3e.GBR.hum
KF513724=HEV_EW212. 3e.GBR.hum
KF513725=HEV_EW219. 3e.GBR.hum
KF513727=HEV_EW21. 3e.GBR.hum
KF513733=HEV_EW221. 3e.GBR.hum
KF513735=HEV_EW227. 3e.GBR.hum
KF513736=HEV_EW229. 3e.GBR.hum
KF513738=HEV_EW22. 3e.GBR.hum
KF513741=HEV_EW231. 3e.GBR.hum
KF513742=HEV_EW234. 3e.GBR.hum
KF513743=HEV_EW235. 3e.GBR.hum
KF513747=HEV_EW236. 3e.GBR.hum
KF513749=HEV_EW23. 3e.GBR.hum
KF513751=HEV_EW241. 3e.GBR.hum
KF513754=HEV_EW243. 3e.GBR.hum
KF513758=HEV_EW246. 3e.GBR.hum
KF513764=HEV_EW24. 3e.GBR.hum
KF513768=HEV_EW255. 3e.GBR.hum
KF513769=HEV_EW259. 3e.GBR.hum
KF513772=HEV_EW25. 3e.GBR.hum
KF513778=HEV_EW262. 3e.GBR.hum
KF513779=HEV_EW268. 3e.GBR.hum
KF513780=HEV_EW269. 3e.GBR.hum
KF513781=HEV_EW26. 3e.GBR.hum
KF513785=HEV_EW270. 3e.GBR.hum
KF513786=HEV_EW274. 3e.GBR.hum
KF513789=HEV_EW275. 3e.GBR.hum
KF513791=HEV_EW278. 3e.GBR.hum
KF513793=HEV_EW27. 3e.GBR.hum
KF513794=HEV_EW281. 3e.GBR.hum
KF513795=HEV_EW282. 3e.GBR.hum
KF513802=HEV_EW283. 3e.GBR.hum
KF513804=HEV_EW28. 3e.GBR.hum
KF513806=HEV_EW291. 3e.GBR.hum
KF513808=HEV_EW293. 3e.GBR.hum
KF513810=HEV_EW295. 3e.GBR.hum
KF513813=HEV_EW297. 3e.GBR.hum
KF513815=HEV_EW29. 3e.GBR.hum
KF513825=HEV_EW300. 3e.GBR.hum
KF513832=HEV_EW30. 3e.GBR.hum
KF513834=HEV_EW316. 3e.GBR.hum
KF513835=HEV_EW318. 3e.GBR.hum
KF513836=HEV_EW319. 3e.GBR.hum
KF513843=HEV_EW31. 3e.GBR.hum
KF513847=HEV_EW326. 3e.GBR.hum
KF513849=HEV_EW32. 3e.GBR.hum
KF513857=HEV_EW331. 3e.GBR.hum
KF513858=HEV_EW339. 3e.GBR.hum
KF513861=HEV_EW33. 3e.GBR.hum
KF513862=HEV_EW342. 3e.GBR.hum
KF513863=HEV_EW343. 3e.GBR.hum
KF513866=HEV_EW344. 3e.GBR.hum
KF513869=HEV_EW347. 3e.GBR.hum
KF513870=HEV_EW34. 3e.GBR.hum
KF513871=HEV_EW350. 3e.GBR.hum
KF513872=HEV_EW351. 3e.GBR.hum
KF513873=HEV_EW352. 3e.GBR.hum
KF513874=HEV_EW353. 3e.GBR.hum
KF513877=HEV_EW354. 3e.GBR.hum
KF513878=HEV_EW357. 3e.GBR.hum
KF513880=HEV_EW358. 3e.GBR.hum
KF513881=HEV_EW35. 3e.GBR.hum
KF513882=HEV_EW360. 3e.GBR.hum
KF513887=HEV_EW361. 3e.GBR.hum
KF513889=HEV_EW366. 3e.GBR.hum
KF513890=HEV_EW368. 3e.GBR.hum
KF513891=HEV_EW369. 3e.GBR.hum
KF513894=HEV_EW36. 3e.GBR.hum
KF513899=HEV_EW372. 3e.GBR.hum
KF513901=HEV_EW377. 3e.GBR.hum
KF513902=HEV_EW379. 3e.GBR.hum
KF513905=HEV_EW37. 3e.GBR.hum
KF513908=HEV_EW382. 3e.GBR.hum
KF513911=HEV_EW385. 3e.GBR.hum
KF513913=HEV_EW388. 3e.GBR.hum
KF513916=HEV_EW38. 3e.GBR.hum
KF513924=HEV_EW392. 3e.GBR.hum
KF513925=HEV_EW39. 3e.GBR.hum
KF513928=HEV_EW3. 3e.GBR.hum
KF513936=HEV_EW402. 3e.GBR.hum
KF513940=HEV_EW40. 3e.GBR.hum
KF513944=HEV_EW413. 3e.GBR.hum
KF513947=HEV_EW417. 3e.GBR.hum
KF513950=HEV_EW41. 3e.GBR.hum
KF513951=HEV_EW422. 3e.GBR.hum
KF513955=HEV_EW423. 3e.GBR.hum
KF513958=HEV_EW427. 3e.GBR.hum
KF513964=HEV_EW42. 3e.GBR.hum
KF513967=HEV_EW435. 3e.GBR.hum
KF513977=HEV_EW438. 3e.GBR.hum
KF513979=HEV_EW447. 3e.GBR.hum
KF513980=HEV_EW449. 3e.GBR.hum
KF513983=HEV_EW44. 3e.GBR.hum
KF513991=HEV_EW452. 3e.GBR.hum
KF514002=HEV_EW45. 3e.GBR.hum
KF514009=HEV_EW46. 3e.GBR.hum
KF514011=HEV_EW476. 3e.GBR.hum
KF514012=HEV_EW478. 3e.GBR.hum
KF514013=HEV_EW479. 3e.GBR.hum
KF514019=HEV_EW47. 3e.GBR.hum
KF514020=HEV_EW485. 3e.GBR.hum
KF514023=HEV_EW486. 3e.GBR.hum
KF514024=HEV_EW489. 3e.GBR.hum
KF514026=HEV_EW48. 3e.GBR.hum
KF514031=HEV_EW491. 3e.GBR.hum
KF514035=HEV_EW496. 3e.GBR.hum
KF514036=HEV_EW49. 3e.GBR.hum
KF514038=HEV_EW4. 3e.GBR.hum
KF514040=HEV_EW501. 3e.GBR.hum
KF514041=HEV_EW503. 3e.GBR.hum
KF514044=HEV_EW504. 3e.GBR.hum
KF514046=HEV_EW507. 3e.GBR.hum
KF514047=HEV_EW50. 3e.GBR.hum
KF514048=HEV_EW51. 3e.GBR.hum
KF514049=HEV_EW52. 3e.GBR.hum
KF514050=HEV_EW53. 3e.GBR.hum
KF514051=HEV_EW54. 3e.GBR.hum
KF514052=HEV_EW55. 3e.GBR.hum
KF514053=HEV_EW56. 3e.GBR.hum
KF514054=HEV_EW57. 3e.GBR.hum
KF514055=HEV_EW58. 3e.GBR.hum
KF514056=HEV_EW59. 3e.GBR.hum
KF514057=HEV_EW5. 3e.GBR.hum
KF514058=HEV_EW60. 3e.GBR.hum
KF514059=HEV_EW61. 3e.GBR.hum
KF514060=HEV_EW62. 3e.GBR.hum
KF514061=HEV_EW63. 3e.GBR.hum
KF514062=HEV_EW64. 3e.GBR.hum
KF514063=HEV_EW65. 3e.GBR.hum
KF514065=HEV_EW66. 3e.GBR.hum
KF514066=HEV_EW68. 3e.GBR.hum
KF514067=HEV_EW69. 3e.GBR.hum
KF514068=HEV_EW6. 3e.GBR.hum
KF514069=HEV_EW70. 3e.GBR.hum
KF514070=HEV_EW71. 3e.GBR.hum
KF514071=HEV_EW72. 3e.GBR.hum
KF514072=HEV_EW73. 3e.GBR.hum
KF514073=HEV_EW74. 3e.GBR.hum
KF514075=HEV_EW75. 3e.GBR.hum
KF514076=HEV_EW77. 3e.GBR.hum
KF514077=HEV_EW78. 3e.GBR.hum
KF514078=HEV_EW79. 3e.GBR.hum
KF514079=HEV_EW7. 3e.GBR.hum
KF514080=HEV_EW80. 3e.GBR.hum
KF514081=HEV_EW81. 3e.GBR.hum
KF514082=HEV_EW82. 3e.GBR.hum
KF514083=HEV_EW83. 3e.GBR.hum
KF514084=HEV_EW84. 3e.GBR.hum
KF514085=HEV_EW85. 3e.GBR.hum
KF514086=HEV_EW86. 3e.GBR.hum
KF514088=HEV_EW87. 3e.GBR.hum
KF514089=HEV_EW89. 3e.GBR.hum
KF514090=HEV_EW8. 3e.GBR.hum
KF514091=HEV_EW90. 3e.GBR.hum
KF514092=HEV_EW91. 3e.GBR.hum
KF514093=HEV_EW92. 3e.GBR.hum
KF514094=HEV_EW93. 3e.GBR.hum
KF514095=HEV_EW94. 3e.GBR.hum
KF514096=HEV_EW95. 3e.GBR.hum
KF514098=HEV_EW96. 3e.GBR.hum
KF514099=HEV_EW98. 3e.GBR.hum
KF514100=HEV_EW99. 3e.GBR.hum
KF922359=rt93100008. 3e.FRA.hum.CG
AB290313=swMN06-C1056. 3ef.MNG.pig.CG
KF513694=swMN06-C1056. 3f.GBR.hum
KF513761=HEV_EW191. 3f.GBR.hum
KF513923=HEV_EW252. 3f.GBR.hum
KF513990=HEV_EW399. 3f.GBR.hum
AB291961=JMH-Osa04C. 3f.THA.hum.OMC.CG
AB369687=E116-YKH98C. 3f.THA.hum.NNMC(*).CG
AF110388=G1. 3f.GRC.hum(*)
AF110391=G1. 3f.GRC.hum(*)
AF195061=VH1. 3f.ESP.hum(*)
AF195062=VH2. 3f.ESP.hum(*)
AF195063=E11. 3f.ESP.pig
AF195064=VH1. 3f.ESP.hum(*)
AF195065=VH2. 3f.ESP.hum(*)
AF335998=NLSW11. 3f.NLD.pig(*)
AF335999=NLSW13. 3f.NLD.pig(*)
AF336000=NLSW15. 3f.NLD.pig(*)
AF336003=NLSW28. 3f.NLD.pig(*)
AF336005=NLSW41. 3f.NLD.pig(*)
AF336006=NLSW50. 3f.NLD.pig(*)
AF336008=NLSW76. 3f.NLD.pig(*)
AF336009=NLSW82. 3f.NLD.pig(*)
AF336010=NLSW85. 3f.NLD.pig(*)
AF336011=NLSW91. 3f.NLD.pig(*)
AF490985=BCN3. 3f.ESP.sewage(*)
AF490986=BCN5. 3f.ESP.sewage(*)
AF490987=BCN6. 3f.ESP.sewage(*)
AF490988=BCN7. 3f.ESP.sewage
AF490989=BCN8. 3f.ESP.sewage
AF490990=BCN9. 3f.ESP.sewage
AF490992=BCN11. 3f.ESP.sewage
AF490993=BCN12. 3f.ESP.sewage(*)
AF490994=BCN13. 3f.ESP.sewage
AF490995=BCN14. 3f.ESP.sewage
AF490997=BCN16. 3f.ESP.sewage(*)
AF491000=VH1. 3f.ESP.hum(*)
AF491001=VH2. 3f.ESP.hum(*)
AF491003=BCN4. 3f.ESP.sewage(*)
AF491004=BCN2. 3f.ESP.sewage
AJ889194=GerWW. 3f.DEU.hum.UReg
AJ889195=GerWW. 3f.DEU.hum.UReg
AJ889196=GerWW. 3f.DEU.hum.UReg
AJ889197=GerWW. 3f.DEU.hum.UReg
AY032757=NLSW76. 3f.NLD.pig(*)
AY032758=NLSW50. 3f.NLD.pig(*)
AY032759=NLSW91. 3f.NLD.pig(*)
AY540113=VH3. 3f.ESP.hum(*)
AY540114=VH4. 3f.ESP.hum(*)
DQ200273=HEV/HU/NL/217. 3f.NLD.hum
DQ200277=HEV/HU/NL/2003-0366. 3f.NLD.hum
DQ200278=HEV/HU/NL/2003-471413. 3f.NLD.hum
DQ200292=HEV/HU/NL/2005-0825. 3f.NLD.hum
DQ200295=HEV/HU/NL/DB45. 3f.NLD.hum
DQ315745=65103. 3f.ESP.pig
DQ315746=65203. 3f.ESP.pig
DQ315747=65703. 3f.ESP.pig
DQ315749=67503. 3f.ESP.pig
DQ315750=69003. 3f.ESP.pig
DQ315751=70603. 3f.ESP.pig
DQ315752=12804. 3f.ESP.pig
DQ315754=15204. 3f.ESP.pig
DQ315757=25604. 3f.ESP.pig
DQ315758=60304. 3f.ESP.pig
DQ315759=60504. 3f.ESP.pig
DQ315760=60604. 3f.ESP.pig
DQ315762=60804. 3f.ESP.pig
DQ315763=60904. 3f.ESP.pig
DQ315764=62904. 3f.ESP.pig
DQ315765=63004. 3f.ESP.pig
DQ315766=63104. 3f.ESP.pig
DQ315767=63404. 3f.ESP.pig
DQ315769=63604. 3f.ESP.pig
DQ315770=67204. 3f.ESP.pig
DQ916143=NLSWLiver25. 3f.NLD.pig
DQ996399=NLSWIE3. 3f.NLD.pig
EF372524=HEV/SW/NL/2005-975. 3f.NLD.pig
EF372527=HEV/SW/NL/2005-980. 3f.NLD.pig
EF372528=HEV/SW/NL/2005-981. 3f.NLD.pig
EF372530=HEV/SW/NL/2005-987. 3f.NLD.pig
EF372535=HEV/SW/NL/2005-997. 3f.NLD.pig
EF372541=HEV/SW/NL/2005-1014. 3f.NLD.pig
EF372544=HEV/SW/NL/2005-1023. 3f.NLD.pig
EF372549=HEV/SW/NL/2005-1034. 3f.NLD.pig
EF372551=HEV/SW/NL/2005-1037. 3f.NLD.pig
EF372555=HEV/SW/NL/2005-1052. 3f.NLD.pig
EF372557=HEV/SW/NL/2005-1061. 3f.NLD.pig
EF372559=HEV/SW/NL/2005-1065. 3f.NLD.pig
EF372560=HEV/SW/NL/2005-1066. 3f.NLD.pig
EF530665=HUN-E86. 3f.HUN.hum
EU035816=WvdP. 3f.NLD.pig
EU117407=SWswHEV. 3f.CZE.pig
EU117411=CZswHEV10. 3f.CZE.pig
EU117412=CZswHEV14. 3f.CZE.pig
EU117414=CZswHEV27. 3f.CZE.pig
EU360977=swX07-E1. 3f.SWE.pig.CG
EU375463=Thai-swHEV07. 3f.THA.pig.CG
